fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
6,9;0,54;0,04;3,0;0,0770;7;27;0,9987;3,69;0,91;9,4;REGULAR-BUENO
11,5;0,18;0,51;4,0;0,1040;4;23;0,9996;3,28;0,97;10,1;REGULAR-BUENO
7,9;0,55;0,06;4,0;0,0870;27;61;0,9965;3,36;0,67;10,7;REGULAR-BUENO
11,5;0,18;0,51;4,0;0,1040;4;23;0,9996;3,28;0,97;10,1;REGULAR-BUENO
10,9;0,37;0,58;4,0;0,0710;17;65;0,9994;3,22;0,78;10,1;REGULAR-MALO
8,4;0,72;0,20;2,4;0,0760;10;38;0,9974;3,31;0,64;9,4;REGULAR-MALO
7,5;0,65;0,18;7,0;0,0880;27;94;0,9992;3,38;0,77;9,4;REGULAR-MALO
7,9;0,55;0,06;4,0;0,0870;27;61;0,9965;3,36;0,67;10,7;REGULAR-BUENO
6,9;0,54;0,04;3,0;0,0770;7;27;0,9987;3,69;0,91;9,4;REGULAR-BUENO
11,5;0,18;0,51;4,0;0,1040;4;23;0,9996;3,28;0,97;10,1;REGULAR-BUENO
10,3;0,32;0,45;6,4;0,0730;5;13;0,9976;3,23;0,82;12,6;MUY BUENO
8,9;0,40;0,32;5,6;0,0870;10;47;0,9991;3,38;0,77;10,5;BUENO
11,4;0,26;0,44;3,6;0,0710;6;19;0,9986;3,12;0,82;9,3;REGULAR-BUENO
7,7;0,27;0,68;3,5;0,3580;5;10;0,9972;3,25;1,08;9,9;BUENO
7,6;0,52;0,12;3,0;0,0670;12;53;0,9971;3,36;0,57;9,1;REGULAR-MALO
8,9;0,40;0,32;5,6;0,0870;10;47;0,9991;3,38;0,77;10,5;BUENO
9,9;0,59;0,07;3,4;0,1020;32;71;100015,0000;3,31;0,71;9,8;REGULAR-MALO
9,9;0,59;0,07;3,4;0,1020;32;71;100015,0000;3,31;0,71;9,8;REGULAR-MALO
12,0;0,45;0,55;2,0;0,0730;25;49;0,9997;3,10;0,76;10,3;REGULAR-BUENO
7,5;0,40;0,12;3,0;0,0920;29;53;0,9967;3,37;0,70;10,3;REGULAR-BUENO
8,7;0,52;0,09;2,5;0,0910;20;49;0,9976;3,34;0,86;10,6;BUENO
11,6;0,42;0,53;3,3;0,1050;33;98;1001,0000;3,20;0,95;9,2;REGULAR-MALO
8,7;0,52;0,09;2,5;0,0910;20;49;0,9976;3,34;0,86;10,6;BUENO
11,0;0,20;0,48;2,0;0,3430;6;18;0,9979;3,30;0,71;10,5;REGULAR-MALO
10,4;0,55;0,23;2,7;0,0910;18;48;0,9994;3,22;0,64;10,3;REGULAR-BUENO
6,9;0,36;0,25;2,4;0,0980;5;16;0,9964;3,41;0,60;10,1;REGULAR-BUENO
13,3;0,34;0,52;3,2;0,0940;17;53;10014,0000;3,05;0,81;9,5;REGULAR-BUENO
10,8;0,50;0,46;2,5;0,0730;5;27;10001,0000;3,05;0,64;9,5;REGULAR-MALO
10,6;0,83;0,37;2,6;0,0860;26;70;0,9981;3,16;0,52;9,9;REGULAR-MALO
7,1;0,63;0,06;2,0;0,0830;8;29;0,9986;3,67;0,73;9,6;REGULAR-MALO
7,2;0,65;0,02;2,3;0,0940;5;31;0,9993;3,67;0,80;9,7;REGULAR-MALO
6,9;0,67;0,06;2,1;0,0800;8;33;0,9985;3,68;0,71;9,6;REGULAR-MALO
7,5;0,53;0,06;2,6;0,0860;20;44;0,9965;3,38;0,59;10,7;REGULAR-BUENO
11,1;0,18;0,48;1,5;0,0680;7;15;0,9973;3,22;0,64;10,1;REGULAR-BUENO
8,3;0,71;0,12;2,6;0,0920;12;28;0,9994;3,51;0,72;10,0;REGULAR-MALO
7,4;0,67;0,12;1,6;0,1860;5;21;0,9960;3,39;0,54;9,5;REGULAR-MALO
8,4;0,65;0,60;2,1;0,1120;12;90;0,9973;3,20;0,52;9,2;REGULAR-MALO
10,3;0,53;0,48;2,5;0,0630;6;25;0,9998;3,12;0,59;9,3;REGULAR-BUENO
7,6;0,62;0,32;2,2;0,0820;7;54;0,9966;3,36;0,52;9,4;REGULAR-MALO
10,3;0,41;0,42;2,4;0,2130;6;14;0,9994;3,19;0,62;9,5;REGULAR-BUENO
10,3;0,43;0,44;2,4;0,2140;5;12;0,9994;3,19;0,63;9,5;REGULAR-BUENO
7,4;0,29;0,38;1,7;0,0620;9;30;0,9968;3,41;0,53;9,5;REGULAR-BUENO
10,3;0,53;0,48;2,5;0,0630;6;25;0,9998;3,12;0,59;9,3;REGULAR-BUENO
7,9;0,53;0,24;2,0;0,0720;15;105;0,9960;3,27;0,54;9,4;REGULAR-BUENO
9,0;0,46;0,31;2,8;0,0930;19;98;0,9982;3,32;0,63;9,5;REGULAR-BUENO
8,6;0,47;0,30;3,0;0,0760;30;135;0,9976;3,30;0,53;9,4;REGULAR-MALO
7,4;0,36;0,29;2,6;0,0870;26;72;0,9965;3,39;0,68;11,0;REGULAR-MALO
7,1;0,35;0,29;2,5;0,0960;20;53;0,9962;3,42;0,65;11,0;REGULAR-BUENO
9,6;0,56;0,23;3,4;0,1020;37;92;0,9996;3,30;0,65;10,1;REGULAR-MALO
9,6;0,77;0,12;2,9;0,0820;30;74;0,9987;3,30;0,64;10,4;REGULAR-BUENO
9,8;0,66;0,39;3,2;0,0830;21;59;0,9989;3,37;0,71;11,5;BUENO
9,6;0,77;0,12;2,9;0,0820;30;74;0,9987;3,30;0,64;10,4;REGULAR-BUENO
9,8;0,66;0,39;3,2;0,0830;21;59;0,9989;3,37;0,71;11,5;BUENO
9,3;0,61;0,26;3,4;0,0900;25;87;0,9998;3,24;0,62;9,7;REGULAR-MALO
7,8;0,62;0,05;2,3;0,0790;6;18;0,9974;3,29;0,63;9,3;REGULAR-MALO
10,3;0,59;0,42;2,8;0,0900;35;73;0,9990;3,28;0,70;9,5;REGULAR-BUENO
10,0;0,49;0,20;11,0;0,0710;13;50;10015,0000;3,16;0,69;9,2;REGULAR-BUENO
10,0;0,49;0,20;11,0;0,0710;13;50;10015,0000;3,16;0,69;9,2;REGULAR-BUENO
11,6;0,53;0,66;3,7;0,1210;6;14;0,9978;3,05;0,74;11,5;BUENO
10,3;0,44;0,50;4,5;0,1070;5;13;0,9980;3,28;0,83;11,5;REGULAR-MALO
13,4;0,27;0,62;2,6;0,0820;6;21;10002,0000;3,16;0,67;9,7;REGULAR-BUENO
10,7;0,46;0,39;2,0;0,0610;7;15;0,9981;3,18;0,62;9,5;REGULAR-MALO
10,2;0,36;0,64;2,9;0,1220;10;41;0,9980;3,23;0,66;12,5;REGULAR-BUENO
10,2;0,36;0,64;2,9;0,1220;10;41;0,9980;3,23;0,66;12,5;REGULAR-BUENO
8,0;0,58;0,28;3,2;0,0660;21;114;0,9973;3,22;0,54;9,4;REGULAR-BUENO
8,4;0,56;0,08;2,1;0,1050;16;44;0,9958;3,13;0,52;11,0;REGULAR-MALO
7,9;0,65;0,01;2,5;0,0780;17;38;0,9963;3,34;0,74;11,7;BUENO
11,9;0,70;0,53;3,4;0,1280;7;21;0,9992;3,17;0,84;12,2;BUENO
8,9;0,43;0,45;1,9;0,0520;6;16;0,9948;3,35;0,70;12,5;REGULAR-BUENO
7,8;0,43;0,32;2,8;0,0800;29;58;0,9974;3,31;0,64;10,3;REGULAR-MALO
12,4;0,49;0,58;3,0;0,1030;28;99;10008,0000;3,16;1,00;11,5;REGULAR-BUENO
12,5;0,28;0,54;2,3;0,0820;12;29;0,9997;3,11;1,36;9,8;BUENO
12,2;0,34;0,50;2,4;0,0660;10;21;1,0000;3,12;1,18;9,2;REGULAR-BUENO
10,6;0,42;0,48;2,7;0,0650;5;18;0,9972;3,21;0,87;11,3;REGULAR-BUENO
10,9;0,39;0,47;1,8;0,1180;6;14;0,9982;3,30;0,75;9,8;REGULAR-BUENO
10,9;0,39;0,47;1,8;0,1180;6;14;0,9982;3,30;0,75;9,8;REGULAR-BUENO
11,9;0,57;0,50;2,6;0,0820;6;32;10006,0000;3,12;0,78;10,7;REGULAR-BUENO
7,0;0,69;0,00;1,9;0,0670;40;63;0,9979;3,60;0,81;9,9;REGULAR-MALO
6,6;0,82;0,02;2,7;0,0720;17;34;0,9955;3,58;0,89;12,3;BUENO
13,8;0,49;0,67;3,0;0,0930;6;15;0,9986;3,02;0,93;12,0;REGULAR-BUENO
9,6;0,56;0,31;2,8;0,0890;15;46;0,9979;3,11;0,92;10,0;REGULAR-BUENO
9,1;0,79;0,00;2,6;0,0930;11;28;0,9994;3,36;0,86;9,4;REGULAR-BUENO
10,7;0,67;0,22;2,7;0,1070;17;34;10004,0000;3,28;0,98;9,9;REGULAR-BUENO
9,1;0,80;0,00;2,6;0,0960;11;26;0,9994;3,35;0,83;9,4;REGULAR-BUENO
7,7;0,67;0,00;2,4;0,0900;8;19;0,9974;3,27;0,73;9,3;REGULAR-MALO
13,5;0,53;0,79;4,8;0,1200;23;77;10018,0000;3,18;0,77;13,0;REGULAR-MALO
6,1;0,21;0,40;1,4;0,0660;41;165;0,9912;3,25;0,59;11,9;REGULAR-BUENO
6,7;0,75;0,01;2,4;0,0780;17;32;0,9955;3,55;0,61;12,8;REGULAR-BUENO
11,5;0,41;0,52;3,0;0,0800;29;55;10001,0000;3,26;0,88;11,0;REGULAR-MALO
10,5;0,42;0,66;3,0;0,1160;12;29;0,9970;3,24;0,75;11,7;BUENO
11,9;0,43;0,66;3,1;0,1090;10;23;1,0000;3,15;0,85;10,4;BUENO
12,6;0,38;0,66;2,6;0,0880;10;41;1001,0000;3,17;0,68;9,8;REGULAR-BUENO
8,2;0,70;0,23;2,0;0,0990;14;81;0,9973;3,19;0,70;9,4;REGULAR-MALO
8,6;0,45;0,31;2,6;0,0860;21;50;0,9982;3,37;0,91;9,9;REGULAR-BUENO
11,9;0,58;0,66;2,5;0,0720;6;37;0,9992;3,05;0,56;10,0;REGULAR-MALO
12,5;0,46;0,63;2,0;0,0710;6;15;0,9988;2,99;0,87;10,2;REGULAR-MALO
12,8;0,62;0,66;5,8;0,0830;7;42;10022,0000;3,07;0,73;10,0;BUENO
10,0;0,42;0,50;3,4;0,1070;7;21;0,9979;3,26;0,93;11,8;REGULAR-BUENO
12,8;0,62;0,66;5,8;0,0830;7;42;10022,0000;3,07;0,73;10,0;BUENO
10,4;0,58;0,61;2,6;0,0760;11;24;1,0000;3,16;0,69;9,0;REGULAR-MALO
10,3;0,34;0,52;2,8;0,1590;15;75;0,9998;3,18;0,64;9,4;REGULAR-MALO
9,4;0,27;0,53;2,4;0,0740;6;18;0,9962;3,20;1,13;12,0;BUENO
6,9;0,77;0,02;2,3;0,0630;35;63;0,9975;3,57;0,78;9,9;REGULAR-MALO
7,9;0,24;0,40;1,6;0,0560;11;25;0,9967;3,32;0,87;8,7;REGULAR-BUENO
9,1;0,28;0,48;1,8;0,0670;26;46;0,9967;3,32;1,04;10,6;REGULAR-BUENO
7,4;0,55;0,22;2,2;0,1060;12;72;0,9959;3,05;0,63;9,2;REGULAR-MALO
14,0;0,41;0,63;3,8;0,0890;6;47;10014,0000;3,01;0,81;10,8;REGULAR-BUENO
11,5;0,54;0,71;4,4;0,1240;6;15;0,9984;3,01;0,83;11,8;BUENO
11,5;0,45;0,50;3,0;0,0780;19;47;10003,0000;3,26;1,11;11,0;REGULAR-BUENO
9,4;0,27;0,53;2,4;0,0740;6;18;0,9962;3,20;1,13;12,0;BUENO
11,4;0,63;0,66;6,2;0,0880;6;24;0,9988;3,11;0,99;13,3;REGULAR-BUENO
8,3;0,42;0,38;2,5;0,0940;24;60;0,9979;3,31;0,70;10,8;REGULAR-BUENO
8,3;0,26;0,42;2,0;0,0800;11;27;0,9974;3,21;0,80;9,4;REGULAR-BUENO
13,7;0,42;0,68;2,9;0,0850;17;43;10014,0000;3,06;0,80;10,0;REGULAR-BUENO
8,3;0,26;0,42;2,0;0,0800;11;27;0,9974;3,21;0,80;9,4;REGULAR-BUENO
8,3;0,26;0,42;2,0;0,0800;11;27;0,9974;3,21;0,80;9,4;REGULAR-BUENO
7,7;0,51;0,28;2,1;0,0870;23;54;0,9980;3,42;0,74;9,2;REGULAR-MALO
7,4;0,63;0,07;2,4;0,0900;11;37;0,9979;3,43;0,76;9,7;REGULAR-BUENO
7,8;0,54;0,26;2,0;0,0880;23;48;0,9981;3,41;0,74;9,2;REGULAR-BUENO
8,3;0,66;0,15;1,9;0,0790;17;42;0,9972;3,31;0,54;9,6;REGULAR-BUENO
7,8;0,46;0,26;1,9;0,0880;23;53;0,9981;3,43;0,74;9,2;REGULAR-BUENO
9,6;0,38;0,31;2,5;0,0960;16;49;0,9982;3,19;0,70;10,0;BUENO
5,6;0,85;0,05;1,4;0,0450;12;88;0,9924;3,56;0,82;12,9;MUY BUENO
13,7;0,42;0,68;2,9;0,0850;17;43;10014,0000;3,06;0,80;10,0;REGULAR-BUENO
9,5;0,37;0,52;2,0;0,0820;6;26;0,9980;3,18;0,51;9,5;REGULAR-MALO
8,4;0,67;0,61;2,0;0,1120;13;95;0,9970;3,16;0,54;9,1;REGULAR-MALO
12,7;0,60;0,65;2,3;0,0630;6;25;0,9997;3,03;0,57;9,9;REGULAR-MALO
12,0;0,37;0,76;4,2;0,0660;7;38;10004,0000;3,22;0,60;13,0;BUENO
6,6;0,74;0,02;7,9;0,1220;68;124;0,9994;3,47;0,53;9,9;REGULAR-MALO
11,5;0,59;0,59;2,6;0,0870;13;49;0,9988;3,18;0,65;11,0;REGULAR-BUENO
11,5;0,59;0,59;2,6;0,0870;13;49;0,9988;3,18;0,65;11,0;REGULAR-BUENO
8,7;0,77;0,22;2,3;0,0640;9;42;0,9963;3,10;0,55;9,4;REGULAR-MALO
6,6;0,74;0,02;7,9;0,1220;68;124;0,9994;3,47;0,53;9,9;REGULAR-MALO
7,7;0,26;0,30;1,7;0,0590;20;38;0,9949;3,29;0,47;10,8;REGULAR-BUENO
12,2;0,48;0,54;2,6;0,0850;19;64;1,0000;3,10;0,61;10,5;REGULAR-BUENO
11,4;0,60;0,49;2,7;0,0850;10;41;0,9994;3,15;0,63;10,5;REGULAR-BUENO
7,7;0,69;0,05;2,7;0,0750;15;27;0,9974;3,26;0,61;9,1;REGULAR-MALO
8,7;0,31;0,46;1,4;0,0590;11;25;0,9966;3,36;0,76;10,1;REGULAR-BUENO
9,8;0,44;0,47;2,5;0,0630;9;28;0,9981;3,24;0,65;10,8;REGULAR-BUENO
12,0;0,39;0,66;3,0;0,0930;12;30;0,9996;3,18;0,63;10,8;BUENO
10,4;0,34;0,58;3,7;0,1740;6;16;0,9970;3,19;0,70;11,3;REGULAR-BUENO
12,5;0,46;0,49;4,5;0,0700;26;49;0,9981;3,05;0,57;9,6;MALO
9,0;0,43;0,34;2,5;0,0800;26;86;0,9987;3,38;0,62;9,5;REGULAR-BUENO
9,1;0,45;0,35;2,4;0,0800;23;78;0,9987;3,38;0,62;9,5;REGULAR-MALO
7,1;0,74;0,16;1,9;0,1000;15;77;0,9966;3,27;0,64;9,3;REGULAR-MALO
9,9;0,40;0,53;6,7;0,0970;6;19;0,9986;3,27;0,82;11,7;BUENO
8,8;0,52;0,34;2,7;0,0870;24;122;0,9982;3,26;0,61;9,5;REGULAR-MALO
8,6;0,73;0,24;6,6;0,1170;31;134;10014,0000;3,32;1,07;9,3;REGULAR-MALO
10,6;0,48;0,64;2,2;0,1110;6;20;0,9970;3,26;0,66;11,7;REGULAR-BUENO
7,0;0,58;0,12;1,9;0,0910;34;124;0,9956;3,44;0,48;10,5;REGULAR-MALO
11,9;0,38;0,51;2,0;0,1210;7;20;0,9996;3,24;0,76;10,4;REGULAR-BUENO
6,8;0,77;0,00;1,8;0,0660;34;52;0,9976;3,62;0,68;9,9;REGULAR-MALO
9,5;0,56;0,33;2,4;0,0890;35;67;0,9972;3,28;0,73;11,8;BUENO
6,6;0,84;0,03;2,3;0,0590;32;48;0,9952;3,52;0,56;12,3;BUENO
7,7;0,96;0,20;2,0;0,0470;15;60;0,9955;3,36;0,44;10,9;REGULAR-MALO
10,5;0,24;0,47;2,1;0,0660;6;24;0,9978;3,15;0,90;11,0;BUENO
7,7;0,96;0,20;2,0;0,0470;15;60;0,9955;3,36;0,44;10,9;REGULAR-MALO
6,6;0,84;0,03;2,3;0,0590;32;48;0,9952;3,52;0,56;12,3;BUENO
6,4;0,67;0,08;2,1;0,0450;19;48;0,9949;3,49;0,49;11,4;REGULAR-BUENO
9,5;0,78;0,22;1,9;0,0770;6;32;0,9988;3,26;0,56;10,6;REGULAR-BUENO
9,1;0,52;0,33;1,3;0,0700;9;30;0,9978;3,24;0,60;9,3;REGULAR-MALO
12,8;0,84;0,63;2,4;0,0880;13;35;0,9997;3,10;0,60;10,4;REGULAR-BUENO
10,5;0,24;0,47;2,1;0,0660;6;24;0,9978;3,15;0,90;11,0;BUENO
7,8;0,55;0,35;2,2;0,0740;21;66;0,9974;3,25;0,56;9,2;REGULAR-MALO
11,9;0,37;0,69;2,3;0,0780;12;24;0,9958;3,00;0,65;12,8;REGULAR-BUENO
12,3;0,39;0,63;2,3;0,0910;6;18;10004,0000;3,16;0,49;9,5;REGULAR-MALO
10,4;0,41;0,55;3,2;0,0760;22;54;0,9996;3,15;0,89;9,9;REGULAR-BUENO
12,3;0,39;0,63;2,3;0,0910;6;18;10004,0000;3,16;0,49;9,5;REGULAR-MALO
8,0;0,67;0,30;2,0;0,0600;38;62;0,9958;3,26;0,56;10,2;REGULAR-BUENO
11,1;0,45;0,73;3,2;0,0660;6;22;0,9986;3,17;0,66;11,2;REGULAR-BUENO
10,4;0,41;0,55;3,2;0,0760;22;54;0,9996;3,15;0,89;9,9;REGULAR-BUENO
7,0;0,62;0,18;1,5;0,0620;7;50;0,9951;3,08;0,60;9,3;REGULAR-MALO
12,6;0,31;0,72;2,2;0,0720;6;29;0,9987;2,88;0,82;9,8;MUY BUENO
11,9;0,40;0,65;2,2;0,0680;7;27;0,9988;3,06;0,68;11,3;REGULAR-BUENO
15,6;0,69;0,76;3,7;0,1000;6;43;10032,0000;2,95;0,68;11,2;BUENO
10,0;0,44;0,49;2,7;0,0770;11;19;0,9963;3,23;0,63;11,6;BUENO
5,3;0,57;0,01;1,7;0,0540;5;27;0,9934;3,57;0,84;12,5;BUENO
9,5;0,74;0,10;2,1;0,0790;6;31;0,9986;3,23;0,56;10,1;REGULAR-BUENO
12,5;0,38;0,60;2,6;0,0810;31;72;0,9996;3,10;0,73;10,5;REGULAR-MALO
9,3;0,48;0,29;2,1;0,1270;6;16;0,9968;3,22;0,72;11,2;REGULAR-MALO
8,6;0,53;0,22;2,0;0,1000;7;27;0,9967;3,20;0,56;10,2;REGULAR-BUENO
11,9;0,39;0,69;2,8;0,0950;17;35;0,9994;3,10;0,61;10,8;REGULAR-BUENO
11,9;0,39;0,69;2,8;0,0950;17;35;0,9994;3,10;0,61;10,8;REGULAR-BUENO
8,4;0,37;0,53;1,8;0,4130;9;26;0,9979;3,06;1,06;9,1;REGULAR-BUENO
6,8;0,56;0,03;1,7;0,0840;18;35;0,9968;3,44;0,63;10,0;REGULAR-BUENO
10,4;0,33;0,63;2,8;0,0840;5;22;0,9998;3,26;0,74;11,2;BUENO
7,0;0,23;0,40;1,6;0,0630;21;67;0,9952;3,50;0,63;11,1;REGULAR-MALO
11,3;0,62;0,67;5,2;0,0860;6;19;0,9988;3,22;0,69;13,4;MUY BUENO
8,9;0,59;0,39;2,3;0,0950;5;22;0,9986;3,37;0,58;10,3;REGULAR-MALO
9,2;0,63;0,21;2,7;0,0970;29;65;0,9988;3,28;0,58;9,6;REGULAR-MALO
10,4;0,33;0,63;2,8;0,0840;5;22;0,9998;3,26;0,74;11,2;BUENO
11,6;0,58;0,66;2,2;0,0740;10;47;10008,0000;3,25;0,57;9,0;MUY MALO
9,2;0,43;0,52;2,3;0,0830;14;23;0,9976;3,35;0,61;11,3;REGULAR-BUENO
8,3;0,62;0,22;2,6;0,0870;6;19;0,9982;3,26;0,61;9,3;REGULAR-MALO
11,0;0,26;0,68;2,6;0,0850;10;25;0,9970;3,18;0,61;11,8;REGULAR-MALO
8,1;0,66;0,70;2,2;0,0980;25;129;0,9972;3,08;0,53;9,0;REGULAR-MALO
11,5;0,32;0,54;2,1;0,0840;5;15;0,9987;2,98;0,70;9,2;REGULAR-BUENO
10,0;0,29;0,40;2,9;0,0980;10;26;10006,0000;3,48;0,91;9,7;REGULAR-MALO
10,3;0,50;0,42;2,0;0,0690;21;51;0,9982;3,16;0,72;11,5;REGULAR-BUENO
8,8;0,46;0,45;2,6;0,0650;7;18;0,9947;3,32;0,79;14,0;REGULAR-BUENO
11,4;0,36;0,69;2,1;0,0900;6;21;1,0000;3,17;0,62;9,2;REGULAR-BUENO
8,7;0,82;0,02;1,2;0,0700;36;48;0,9952;3,20;0,58;9,8;REGULAR-MALO
13,0;0,32;0,65;2,6;0,0930;15;47;0,9996;3,05;0,61;10,6;REGULAR-MALO
9,6;0,54;0,42;2,4;0,0810;25;52;0,9970;3,20;0,71;11,4;REGULAR-BUENO
12,5;0,37;0,55;2,6;0,0830;25;68;0,9995;3,15;0,82;10,4;REGULAR-BUENO
9,9;0,35;0,55;2,1;0,0620;5;14;0,9971;3,26;0,79;10,6;REGULAR-MALO
10,5;0,28;0,51;1,7;0,0800;10;24;0,9982;3,20;0,89;9,4;REGULAR-BUENO
9,6;0,68;0,24;2,2;0,0870;5;28;0,9988;3,14;0,60;10,2;REGULAR-MALO
9,3;0,27;0,41;2,0;0,0910;6;16;0,9980;3,28;0,70;9,7;REGULAR-MALO
10,4;0,24;0,49;1,8;0,0750;6;20;0,9977;3,18;1,06;11,0;REGULAR-BUENO
9,6;0,68;0,24;2,2;0,0870;5;28;0,9988;3,14;0,60;10,2;REGULAR-MALO
9,4;0,69;0,11;2,7;0,0770;6;31;0,9984;3,19;0,70;10,1;REGULAR-BUENO
10,6;0,28;0,39;15,5;0,0690;6;23;10026,0000;3,12;0,66;9,2;REGULAR-MALO
9,4;0,30;0,56;2,8;0,0800;6;17;0,9964;3,15;0,92;11,7;MUY BUENO
10,6;0,36;0,59;2,2;0,1520;6;18;0,9986;3,04;1,05;9,4;REGULAR-MALO
10,6;0,36;0,60;2,2;0,1520;7;18;0,9986;3,04;1,06;9,4;REGULAR-MALO
10,6;0,44;0,68;4,1;0,1140;6;24;0,9970;3,06;0,66;13,4;REGULAR-BUENO
10,2;0,67;0,39;1,9;0,0540;6;17;0,9976;3,17;0,47;10,0;REGULAR-MALO
10,2;0,67;0,39;1,9;0,0540;6;17;0,9976;3,17;0,47;10,0;REGULAR-MALO
10,2;0,65;0,36;1,8;0,0530;5;14;0,9982;3,17;0,42;10,0;REGULAR-BUENO
11,6;0,32;0,55;2,8;0,0810;35;67;10002,0000;3,32;0,92;10,8;BUENO
9,3;0,39;0,40;2,6;0,0730;10;26;0,9984;3,34;0,75;10,2;REGULAR-BUENO
9,3;0,78;0,27;2,8;0,0780;24;56;0,9984;3,31;0,67;10,6;REGULAR-BUENO
9,2;0,41;0,50;2,5;0,0550;12;25;0,9952;3,34;0,79;13,3;BUENO
8,9;0,40;0,51;2,6;0,0520;13;27;0,9950;3,32;0,90;13,4;BUENO
8,7;0,69;0,31;3,0;0,0860;23;81;10002,0000;3,48;0,74;11,6;REGULAR-BUENO
6,5;0,39;0,23;8,3;0,0510;28;91;0,9952;3,44;0,55;12,1;REGULAR-BUENO
10,7;0,35;0,53;2,6;0,0700;5;16;0,9972;3,15;0,65;11,0;MUY BUENO
7,8;0,52;0,25;1,9;0,0810;14;38;0,9984;3,43;0,65;9,0;REGULAR-BUENO
7,2;0,34;0,32;2,5;0,0900;43;113;0,9966;3,32;0,79;11,1;REGULAR-MALO
10,7;0,35;0,53;2,6;0,0700;5;16;0,9972;3,15;0,65;11,0;MUY BUENO
8,7;0,69;0,31;3,0;0,0860;23;81;10002,0000;3,48;0,74;11,6;REGULAR-BUENO
7,8;0,52;0,25;1,9;0,0810;14;38;0,9984;3,43;0,65;9,0;REGULAR-BUENO
10,4;0,44;0,73;6,6;0,0740;38;76;0,9990;3,17;0,85;12,0;BUENO
10,4;0,44;0,73;6,6;0,0740;38;76;0,9990;3,17;0,85;12,0;BUENO
10,5;0,26;0,47;1,9;0,0780;6;24;0,9976;3,18;1,04;10,9;BUENO
10,5;0,24;0,42;1,8;0,0770;6;22;0,9976;3,21;1,05;10,8;BUENO
10,2;0,49;0,63;2,9;0,0720;10;26;0,9968;3,16;0,78;12,5;BUENO
10,4;0,24;0,46;1,8;0,0750;6;21;0,9976;3,25;1,02;10,8;BUENO
11,2;0,67;0,55;2,3;0,0840;6;13;1,0000;3,17;0,71;9,5;REGULAR-BUENO
10,0;0,59;0,31;2,2;0,0900;26;62;0,9994;3,18;0,63;10,2;REGULAR-BUENO
13,3;0,29;0,75;2,8;0,0840;23;43;0,9986;3,04;0,68;11,4;BUENO
12,4;0,42;0,49;4,6;0,0730;19;43;0,9978;3,02;0,61;9,5;REGULAR-MALO
10,0;0,59;0,31;2,2;0,0900;26;62;0,9994;3,18;0,63;10,2;REGULAR-BUENO
10,7;0,40;0,48;2,1;0,1250;15;49;0,9980;3,03;0,81;9,7;REGULAR-BUENO
10,5;0,51;0,64;2,4;0,1070;6;15;0,9973;3,09;0,66;11,8;BUENO
10,5;0,51;0,64;2,4;0,1070;6;15;0,9973;3,09;0,66;11,8;BUENO
8,5;0,66;0,49;6,1;0,1220;34;151;1001,0000;3,31;1,14;9,3;REGULAR-MALO
12,5;0,60;0,49;4,3;0,1000;5;14;1001,0000;3,25;0,74;11,9;REGULAR-BUENO
10,4;0,61;0,49;2,1;0,2000;5;16;0,9994;3,16;0,63;8,4;MUY MALO
10,9;0,21;0,49;2,8;0,0880;11;32;0,9972;3,22;0,68;11,7;REGULAR-BUENO
7,3;0,37;0,49;2,5;0,0880;39;106;0,9966;3,36;0,78;11,0;REGULAR-MALO
9,8;0,25;0,49;2,7;0,0880;15;33;0,9982;3,42;0,90;10,0;REGULAR-BUENO
7,6;0,41;0,49;2,0;0,0880;16;43;0,9980;3,48;0,64;9,1;REGULAR-MALO
8,2;0,39;0,49;2,3;0,0990;47;133;0,9979;3,38;0,99;9,8;REGULAR-MALO
9,3;0,40;0,49;2,5;0,0850;38;142;0,9978;3,22;0,55;9,4;REGULAR-MALO
9,2;0,43;0,49;2,4;0,0860;23;116;0,9976;3,23;0,64;9,5;REGULAR-MALO
10,4;0,64;0,24;2,8;0,1050;29;53;0,9998;3,24;0,67;9,9;REGULAR-MALO
7,3;0,37;0,49;2,5;0,0880;39;106;0,9966;3,36;0,78;11,0;REGULAR-MALO
7,0;0,38;0,49;2,5;0,0970;33;85;0,9962;3,39;0,77;11,4;REGULAR-BUENO
8,2;0,42;0,49;2,6;0,0840;32;55;0,9988;3,34;0,75;8,7;REGULAR-BUENO
9,9;0,63;0,24;2,4;0,0770;6;33;0,9974;3,09;0,57;9,4;REGULAR-MALO
9,1;0,22;0,24;2,1;0,0780;1;28;0,9990;3,41;0,87;10,3;REGULAR-BUENO
11,9;0,38;0,49;2,7;0,0980;12;42;10004,0000;3,16;0,61;10,3;REGULAR-MALO
11,9;0,38;0,49;2,7;0,0980;12;42;10004,0000;3,16;0,61;10,3;REGULAR-MALO
10,3;0,27;0,24;2,1;0,0720;15;33;0,9956;3,22;0,66;12,8;REGULAR-BUENO
10,0;0,48;0,24;2,7;0,1020;13;32;1,0000;3,28;0,56;10,0;REGULAR-BUENO
9,1;0,22;0,24;2,1;0,0780;1;28;0,9990;3,41;0,87;10,3;REGULAR-BUENO
9,9;0,63;0,24;2,4;0,0770;6;33;0,9974;3,09;0,57;9,4;REGULAR-MALO
